,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,converted_minutes,rolling_10_avg_minutes,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
283,MIA,Cole Swider,22023,0022301147,2024-04-09,MIA @ ATL,0.0,2.8200000000000003,,,,0.0,,,,,0.375,0.28049999999999997,18.75,0.0,0.6325000000000001,0.1135,0.0635,0.138,39
284,LAC,Ivica Zubac,22019,0021900516,2020-01-02,LAC vs. DET,18.466666666666665,19.14333333333333,0.8,0.108,14.3,0.0,0.324,0.324,0.196,0.261,0.6068,0.29669999999999996,12.419999999999998,0.12329999999999999,0.5387000000000001,0.24659999999999999,0.1419,0.2311,35
285,ORL,DeAndre Liggins,22011,0021100472,2012-02-20,ORL @ MIL,10.266666666666667,0.0,0.0,,33.3,0.0,,,,,,,,0.0,,,,,8
286,LAL,Alex Caruso,42020,0042000155,2021-06-01,LAL @ PHX,20.5,23.104166666666668,0.313,0.265,20.0,0.043,0.592,0.263,0.046,0.071,0.464,0.3915,10.725000000000001,0.014,0.49,0.32,0.1575,0.22575,4
287,NOP,Jason Smith,22013,0021300143,2013-11-16,NOP vs. PHI,21.333333333333332,28.938888888888886,1.0,,20.0,0.188,,,,,0.5225555555555556,,4.188888888888889,0.05333333333333334,,,,,9
288,BOS,Robert Williams III,22018,0021801170,2019-04-03,BOS @ MIA,0.0,2.896666666666667,,,,0.0,,,,,0.375,0.29375,0.0,0.020200000000000003,0.50475,0.28125,0.121,0.10275,49
289,WAS,John Wall,22013,0021300236,2013-11-29,WAS @ IND,34.7,37.638333333333335,0.286,,11.5,0.0,,,,,0.43810000000000004,,11.309999999999999,0.0114,,,,,15
290,HOU,Corey Brewer,22015,0021501145,2016-04-03,HOU vs. OKC,14.283333333333333,16.811666666666664,0.3,,9.1,0.148,,,,,0.2855,,15.819999999999999,0.010100000000000001,,,,,76
291,SAC,John Salmons,22011,0021100092,2012-01-04,SAC @ DEN,27.616666666666667,26.45,0.143,,0.0,0.0,,,,,0.41350000000000003,,12.783333333333333,0.018333333333333333,,,,,6
292,UTA,Rudy Gobert,22020,0022000402,2021-02-12,UTA vs. MIL,34.68333333333333,29.45666666666667,0.75,0.509,10.0,0.138,0.514,0.31,0.062,0.143,0.6700999999999999,0.3325,13.089999999999998,0.1379,0.524875,0.182125,0.091875,0.18425000000000002,25
